Organization Name,Category,Service Type,Address,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Community Organized Relief Effort (CORE),Community Services,Disaster Relief/Humanitarian,636 Prospect Road Pembroke NC 28372,(910) 734-9942,linda.oxendine@coreresponse.org,https://www.coreresponse.org/,,Natural disaster response conflict assistance food insecurity relief disease outbreak response climate change mitigation public health emergency response,Free,Global humanitarian organization addressing needs of vulnerable communities worldwide,Yes,,Founded by Sean Penn operates across five continents
The Church Gathering Place,Faith-Based Services,Religious Services,119 Brooklyn St. Red Springs NC 28377,(910) 885-4421,thechurch2020@yahoo.com,,,Religious services community gathering,Free,Church established in 2019 in Red Springs North Carolina,No,,
Lumberton Housing Authority,Housing Services,Public Housing,407 N. Sycamore St. Lumberton NC 28358,(910) 671-7226,coxendine@hacl014.com,https://www.lumbertonhousing.org/,,729 public housing units across 12 locations 609 Housing Choice Vouchers resident empowerment programs self-sufficiency support,Income-based,Established in 1949 dedicated to providing safe clean and affordable housing,No,,729 units 609 vouchers
From the Heart by Truly Treasure,Community Services,Healing/Educational Resources,2918 N Elm St. Lumberton NC 28358,(910) 265-2233,truly@trulytreasure.com,https://www.instagram.com/trulytreasure_?igsh=MW04bG8ycThrOGsydg==,,Educational resources support for addiction and trauma recovery accessible resource connection,Varies by service,Nonprofit organization addressing critical needs of Robeson County through personal and community healing,Yes,,Focus on addiction trauma and resource accessibility
Rowland Police Department,Law Enforcement,Police Services,206 West Main St. Rowland NC 28383,(910) 422-3311,rowlandpolice@bellsouth.net,https://townofrowlandnc.com/police-department,,Law enforcement community protection emergency response,Public service,Led by Chief Hubert Graham committed to providing excellent service,Yes,,Implementation of North Carolina laws and standards
Robeson County African American Cultural Center,Cultural & Information Services,Cultural Preservation,123 W. 3rd Street Lumberton NC 28359,(910) 734-4167,alphonzo.mcrae@yahoo.com,,,Cultural preservation community events disaster relief distribution center,Varies by service,Showcases collection of artifacts paintings and photographs highlighting contributions of local African Americans,No,,Can accommodate up to 100 people
I Fit Out,Healthcare Services,Behavioral Health/Peer Support,511 Martin Luther King Jr Dr. Lumberton NC 28358,(910) 370-0018,e.smith@ifitoutllc.com,https://www.ifitoutllc.com/,,Behavioral health services Peer Support program therapy services employment referrals peer support training FAFSA assistance CPR and WRAP training notarial services,Varies by service,Established in November 2019 transitioned to whole health wellness approach in 2022,Yes,,Whole health wellness approach
Beta Nu Chapter of Omega Psi Phi Fraternity,Community Groups & Development,Fraternal Services,24 Hunters Run Pembroke NC 28372,(984) 277-9879,magnanimousjb5@gmail.com,https://www.facebook.com/betanuque/,,Community service leadership development fraternal support,Varies by service,Lumberton Graduate Chapter founded in 1966 by 10 brothers,No,,Founded in 1966
Robeson County Disaster Recovery Coalition Inc.,Community Services,Disaster Recovery,P.O. Box 1142 Lumberton NC 28359,(910) 370-1648,renewrobeson@rcdrc.com,https://www.rcdrc.com/,,Disaster Case Management Services disaster preparedness response and recovery community resilience building,Free,Primary point of contact and key member of Robeson County's official Long-Term Recovery Group,Yes,,Long-Term Recovery Group member
Neketa CDC Inc.,Community Groups & Development,Community Development,1145 Crenshaw Road Rex NC 28378,(910) 227-2859,neketafloyd@yahoo.com,,,Community development,Varies by service,Community development corporation,No,,
Initiative of Helping Optimistic People Excel (IHOPE),Community Services,Biopsychosocial Support,1680 Main Street Laurinburg NC 28352 - PO Box 143,(910) 318-6456,dbethea1dst@yahoo.com,reachihope.org,,Housing assistance employment support substance and addiction recovery civil rights advocacy healthcare equality community workshops and seminars,Varies by service,Non-profit organization dedicated to bridging biopsychosocial gaps in communities,Yes,,Advocacy education training and research focus
Alpha Kappa Alpha Sorority Incorporated Sigma Iota Omega Chapter,Community Groups & Development,Community Service/Education,P.O. Box 223 Fairmont NC 28340,(910) 991-5526,sigmaiotaomega1908@gmail.com,https://www.sio-aka.com/,,Scholarships tutorial programs health and voter education events youth mentoring through Tea Rose Club,Varies by service,Chartered in 1990 serves Robeson County and surrounding communities with commitment to Service to All Mankind,No,,Graduate chapter for Omicron Lambda at UNC-Pembroke
Carolina Treatment Center of Fayetteville,Healthcare Services,Opioid Treatment,3427 Melrose Road Fayetteville NC 28304 (Moving to 572 Executive Place March 2025),(910) 864-8739 Ext. 207,Louis.Leake@ctcprograms.com,Fayetteville Comprehensive Treatment Center,,Prescription medication counseling methadone naltrexone Suboxone buprenorphine treatment,Varies by service,Provides outpatient opioid addiction treatment to adults using medication-assisted treatment (MAT),Yes,,Moving locations in March 2025
Solid Rock Outreach Program (St. Joseph Miracle Revival Center),Faith-Based Services,Religious/Community Outreach,P.O. Box 885 Red Springs NC 28377,(910) 583-0939,alexnlisa61@gmail.com,https://www.sjmrc.org/,,Religious services community outreach hope and light ministry,Free,Vibrant and dynamic church deeply rooted in the teachings of Jesus Christ,No,,Strong emphasis on Word of God
Fight4Me Foundation,Community Services,Opioid Crisis Prevention,88 Bonnie Lane Pembroke NC 28372,(910) 733-9788,leslielocklear0110@gmail.com,https://www.facebook.com/Fight4MeFoundation/,,Opioid crisis education action-based intervention programs,Free,Nonprofit organization with mission to fight the growing opioid crisis,Yes,,Focus on opioid crisis through education and action
Las Amigas Incorporated Red Springs Chapter,Community Groups & Development,Community Improvement,P.O. Box 28 Red Springs NC 28377,(910) 740-9092,redspringspresident@gmail.com,https://www.lasamigasincorporated.org/copy-of-mid-atlantic-region-new,,Community improvement commitment to good citizenship honesty integrity respect service teamwork,Varies by service,501(c)(3) nonprofit organization dedicated to improving the world one community at a time,No,,Values of commitment good citizenship honesty integrity respect service teamwork
Life Opportunities Behavioral Healthcare Services,Healthcare Services,Therapeutic Foster Care/Behavioral Health,129 East 3rd Avenue Red Springs NC 28377,(910) 843-1105,Tonya.pone@loths.org,https://lobhs.com/,,Therapeutic foster care Substance Abuse Intensive Outpatient Program Mental Health Outpatient Therapy,Varies by service,Locally owned provider serving south-central North Carolina supporting children and individuals facing unique challenges,Yes,,Specializes in therapeutic foster care
United Food & Commercial Workers (UFCW) Local 1208,Cultural & Information Services,Worker Advocacy,122 E. Blue Street St. Pauls NC 28384,(910) 879-1208,local1208@ufcw1208.org,http://www.ufcw1208.org/,,Worker advocacy collective bargaining workplace rights protection legislation support contract negotiation,Union membership,501(c)(5) nonprofit labor union representing 1.2 million members across the U.S. and Canada,No,,Represents workers in grocery retail health care manufacturing food processing meatpacking
Resources for Humanity,Community Services,Resource Gap Bridging,511 Martin Luther King Dr. Suite A Lumberton NC 28358,(910) 370-0018,surrendertorecovery@gmail.com,https://resourceshumanity.org/,,Resource gap bridging personal growth promotion resilience inspiration advocacy education training research,Varies by service,Envisions society where individuals are defined by their potential not their past,Yes,,Focus on resilience and growth as foundation for community contributions
Beloveds CommUNITY Initiative,Healthcare Services,Mobile Harm Reduction,,(910) 827-6150,belovedscommunityinitiative@gmail.com,https://belovedscommunityi.wixsite.com/belovedscommunityini?,,Mobile harm reduction street outreach free SHARPS containers used syringe pickup period products distribution,Free,Dedicated to saving lives through radical love education harm reduction and audacity,Yes,,Mobile harm reduction agency
The Prevailing CDC Inc.,Community Groups & Development,Community Development,2110 Wyndam Blvd Lumberton NC 28358,(910) 736-8202,theprevailingcdc@gmail.com,,,Community development,Varies by service,Community development corporation,No,,
New Hope United Methodist Church,Faith-Based Services,Religious Services,210 S. Martin Luther King Street P.O. Box 955 Rowland NC 28383,(910) 318-8528,,https://www.umc.org/en/find-a-church/church?id=001Um00000PFKVYIA5,,Religious services discipleship community transformation,Free,Mission to make disciples of Jesus Christ for the transformation of the world,No,,Part of worldwide United Methodist Church connection
Divine Spirit Life Church,Faith-Based Services,Holistic Health/Religious,980 Dillard Dr. SE Palm Bay Florida 32909,(321) 341-8782,divinespiritlifechurch@gmail.com,https://divinespiritlifechurch.org/,,Holistic health naturology lifestyle choice guidance,Varies by service,Founded by Rev. Dr. Christine Bzrani-Jordan prioritizes holistic health and naturology,No,,Founded by Rev. Dr. Christine Bzrani-Jordan
BUILD Inc. / BUILD Youth Inc.,Education,Vocational Training,3404 North Walnut Street Lumberton NC 28358,(910) 384-2290,nstubbs.stubbs338@gmail.com,https://www.buildincbuildyouthinc.org/,,Construction training Brick Masonry Carpentry Electrical HVAC Plumbing,Varies by program,Committed to empowering socio-economically disadvantaged youth through specialized vocational training,No,,Focus on building skilled workforce for the future
South Lumberton Development Association Inc.,Community Groups & Development,Community Resilience,5961 Old Lumberton Road Whiteville NC 28358 and 130 Spearman Street Lumberton NC 28358,(800) 804-6185 Ext: 5000 & (910) 774-0004,sldaasso1995@gmail.com,https://www.sldasso.org/,,Disaster preparedness mentoring outreach leadership mentoring clean energy efforts parent/student education advocacy housing solutions small business development,Varies by service,Dedicated to fostering community resilience growth and empowerment guided by principle of each one teaches one,Yes,,Each one teaches one principle
Sacred Pathways Inc.,Faith-Based Services,Inclusive Community Support,303 College Street Pembroke NC 28372 P.O. Box 3631,(910) 668-5006,sacredpathways2024@gmail.com,https://serve.uncp.edu/agency/detail/?agency_id=162605,,Soup Kitchen (Mondays and Thursdays 11:00 AM - 1:00 PM) Referral Services Health Screenings Peer Support Addiction Support,Free to low-cost,Nonprofit organization dedicated to fostering inclusive and supportive community,Yes,,Soup Kitchen serves hot meals Mondays and Thursdays 11AM-1PM
Janice Faye's Ranch Inc.,Healthcare Services,Equine-Assisted Learning,1967 The Ave. Clinton NC 28328,(919) 819-1532,janicefayesranch@gmail.com,https://www.janicefayesranch.org/,,Equine-assisted learning trauma therapy depression support grief counseling Natural Lifemanship model,Free,Nonprofit organization providing at-risk youth with healing and hope through equine-assisted learning,Yes,,Uses Natural Lifemanship model serves over 250 individuals
