Agency,Category,Service Type,Address,Latitude,Longitude,Phone,Email,Website,Hours,Services Offered,Cost/Payment,Description,Crisis Service,Languages,Special Notes
Robeson County Sheriff's Office,Law Enforcement,Sheriff Services,120 Legend Rd Lumberton NC 28358,34.5852709,-79.0523108,(910) 671-3100,,http://robesoncoso.org/,,"Law enforcement, community safety partnerships with local state federal agencies, drug crime combat, community protection",Public service,Led by Sheriff Burnis Wilkins committed to ensuring safety and security of all county residents,Yes,,40+ years law enforcement experience
Breeches Buoy Addiction Medicine Service,Crisis Services,Addiction Medicine,300 West 27th Street Lumberton North Carolina 28358,34.6371225,-79.0115307,(843) 616-6430,,https://bbamsnc.org/,,"Clinical diagnosis, acute stabilization with medication, ongoing support through Certified Clinical Peer Support Specialists, psychotherapy treatment planning",Varies by service,Provides comprehensive addiction medicine services for individuals struggling with substance use disorders,Yes,,Uses American Society of Addiction Medicine Criteria
The Carter Clinic,Crisis Services,Mental Health/Addiction,2409 N. Elm Street Lumberton NC 28358,34.6349974,-79.0083971,(910) 802-4365,,https://www.thecarterclinic.com/,,"Treatment for depression, bipolar disorder, ADHD, opiate dependence, alcohol and drug abuse, anxiety, panic disorders, PTSD, marital conflict autism spectrum disorders",Varies by service,Provides mental health and addiction services through twelve locations and Telehealth options,Yes,,Twelve locations with Telehealth options
Town of Pembroke,Government Services,Municipal Services,98 Union Chapel Road Pembroke NC 28372,34.6807114,-79.1917806,(910) 521-9758,,https://www.pembrokenc.com/,,"Municipal services, community events, local government, historic preservation, community development",Municipal services,Harmonious blend of history culture and nature with rich heritage and vibrant community,No,,Historic town with Indigenous heritage
Lumbee Regional Development Association Inc.,Community Groups & Development,Cultural/Economic Development,636 Prospect Rd. Pembroke NC 28372,34.692206,-79.197607,(910) 521-9761,,https://www.lumbee.org/,,"Housing assistance education, job training, small business support, cultural events, Lumbee Homecoming",Varies by service,Serves Lumbee communities through programs addressing social economic and educational needs while preserving culture and traditions,No,,Focus on Lumbee culture preservation
Robeson Community College,Education,Community College,5160 Fayetteville Road Lumberton NC 28360,34.677757,-79.0075535,(910) 272-3700,,https://www.robeson.edu/,,"Academic programs, technical training, innovative programming, career services, counseling services",Tuition varies,Premier academic and career technical institution fostering dynamic learning environment,No,,Multiple campus locations
Community Organized Relief Effort (CORE),Food Services,Disaster Relief/Humanitarian,636 Prospect Road Pembroke NC 28372,34.692206,-79.197607,(910) 734-9942,,https://www.coreresponse.org/,,"Natural disaster response, conflict assistance, food insecurity relief, disease outbreak response, climate change mitigation, public health emergency response",Free,Global humanitarian organization addressing needs of vulnerable communities worldwide,Yes,,Founded by Sean Penn operates across five continents
The Church Gathering Place,Faith-Based Services,Religious Services,119 Brooklyn St. Red Springs NC 28377,34.8090444,-79.1775779,(910) 885-4421,,,,Religious services community gathering,Free,Church established in 2019 in Red Springs North Carolina,No,,
Lumberton Housing Authority,Housing Services,Public Housing,407 N. Sycamore St. Lumberton NC 28358,34.6192804,-79.0028197,(910) 671-7226,,https://www.lumbertonhousing.org/,,729 public housing units across 12 locations 609 Housing Choice Vouchers resident empowerment programs self-sufficiency support,Income-based,Established in 1949 dedicated to providing safe clean and affordable housing,No,,729 units 609 vouchers
From the Heart by Truly Treasure,Crisis Services,Healing/Educational Resources,2918 N Elm St. Lumberton NC 28358,34.638556,-79.0063202,(910) 265-2233,,https://www.instagram.com/trulytreasure_?igsh=MW04bG8ycThrOGsydg==,,"Educational resources support for addiction and trauma, recovery accessible resource connection",Varies by service,Nonprofit organization addressing critical needs of Robeson County through personal and community healing,Yes,,Focus on addiction trauma and resource accessibility
Rowland Police Department,Law Enforcement,Police Services,206 West Main St. Rowland NC 28383,34.5381117,-79.294258,(910) 422-3311,,https://townofrowlandnc.com/police-department,,"Law enforcement, community protection, emergency response",Public service,Led by Chief Hubert Graham committed to providing excellent service,Yes,,Implementation of North Carolina laws and standards
Robeson County African American Cultural Center,Cultural & Information Services,Cultural Preservation,123 W. 3rd Street Lumberton NC 28359,34.6184916,-79.0100705,(910) 734-4167,,,,"Cultural preservation, community events, disaster relief, distribution center",Varies by service,Showcases collection of artifacts paintings and photographs highlighting contributions of local African Americans,No,,Can accommodate up to 100 people
I Fit Out,Crisis Services,Behavioral Health/Peer Support,511 Martin Luther King Jr Dr. Lumberton NC 28358,34.6167299,-79.0159291,(910) 370-0018,,https://www.ifitoutllc.com/,,"Behavioral health services, Peer Support program, therapy services, employment referrals, peer support training, FAFSA assistance, CPR and WRAP training, notarial services",Varies by service,Established in November 2019 transitioned to whole health wellness approach in 2022,Yes,,Whole health wellness approach
Beta Nu Chapter of Omega Psi Phi Fraternity,Community Groups & Development,Fraternal Services,24 Hunters Run Pembroke NC 28372,34.662565,-79.178988,(984) 277-9879,,https://www.facebook.com/betanuque/,,"Community service, leadership development, fraternal support",Varies by service,Lumberton Graduate Chapter founded in 1966 by 10 brothers,No,,Founded in 1966
Robeson County Disaster Recovery Coalition Inc.,Crisis Services,Disaster Recovery,P.O. Box 1142 Lumberton NC 28359,34.6216196,-79.0059754,(910) 370-1648,,https://www.rcdrc.com/,,"Disaster Case Management Services, disaster preparedness response and recovery community resilience building",Free,Primary point of contact and key member of Robeson County's official Long-Term Recovery Group,Yes,,Long-Term Recovery Group member
Neketa CDC Inc.,Community Groups & Development,Community Development,1145 Crenshaw Road Rex NC 28378,34.8374086,-79.0631894,(910) 227-2859,,,,Community development,Varies by service,Community development corporation,No,,
Initiative of Helping Optimistic People Excel (IHOPE),Crisis Services,Biopsychosocial Support,1680 Main Street Laurinburg NC 28352 - PO Box 143,34.7526947,-79.4764317,(910) 318-6456,,reachihope.org,,"Housing assistance, employment support, substance and addiction recovery, civil rights advocacy, healthcare equality, community workshops and seminars",Varies by service,Non-profit organization dedicated to bridging biopsychosocial gaps in communities,Yes,,Advocacy education training and research focus
Alpha Kappa Alpha Sorority Incorporated Sigma Iota Omega Chapter,Community Groups & Development,Community Service/Education,P.O. Box 223 Fairmont NC 28340,34.4968311,-79.114202,(910) 991-5526,,https://www.sio-aka.com/,,"Scholarships, tutorial programs, health and voter education events, youth mentoring through Tea Rose Club",Varies by service,Chartered in 1990 serves Robeson County and surrounding communities with commitment to Service to All Mankind,No,,Graduate chapter for Omicron Lambda at UNC-Pembroke
Carolina Treatment Center of Fayetteville,Crisis Services,Opioid Treatment,3427 Melrose Road Fayetteville NC 28304 (Moving to 572 Executive Place March 2025),35.031647,-78.9357254,(910) 864-8739 Ext. 207,,Fayetteville Comprehensive Treatment Center,,"Prescription medication counseling, methadone, naltrexone, Suboxone, buprenorphine, treatment",Varies by service,Provides outpatient opioid addiction treatment to adults using medication-assisted treatment (MAT),Yes,,Moving locations in March 2025
Solid Rock Outreach Program (St. Joseph Miracle Revival Center),Faith-Based Services,Religious/Community Outreach,P.O. Box 885 Red Springs NC 28377,34.8151633,-79.183091,(910) 583-0939,,https://www.sjmrc.org/,,"Religious services, community outreach, hope and light ministry",Free,Vibrant and dynamic church deeply rooted in the teachings of Jesus Christ,No,,Strong emphasis on Word of God
Fight4Me Foundation,Crisis Services,Opioid Crisis Prevention,88 Bonnie Lane Pembroke NC 28372,34.703645,-79.2179816,(910) 733-9788,,https://www.facebook.com/Fight4MeFoundation/,,"Opioid crisis education, action-based intervention programs",Free,Nonprofit organization with mission to fight the growing opioid crisis,Yes,,Focus on opioid crisis through education and action
Las Amigas Incorporated Red Springs Chapter,Community Groups & Development,Community Improvement,P.O. Box 28 Red Springs NC 28377,34.8151633,-79.183091,(910) 740-9092,,https://www.lasamigasincorporated.org/copy-of-mid-atlantic-region-new,,"Community improvement, commitment to good citizenship honesty, integrity, respect, service teamwork",Varies by service,501(c)(3) nonprofit organization dedicated to improving the world one community at a time,No,,Values of commitment good citizenship honesty integrity respect service teamwork
Life Opportunities Behavioral Healthcare Services,Crisis Services,Therapeutic Foster Care/Behavioral Health,129 East 3rd Avenue Red Springs NC 28377,34.8165083,-79.1819342,(910) 843-1105,,https://lobhs.com/,,"Therapeutic foster care, Substance Abuse Intensive Outpatient Program, Mental Health Outpatient Therapy",Varies by service,Locally owned provider serving south-central North Carolina supporting children and individuals facing unique challenges,Yes,,Specializes in therapeutic foster care
United Food & Commercial Workers (UFCW) Local 1208,Cultural & Information Services,Worker Advocacy,122 E. Blue Street St. Pauls NC 28384,34.8052935,-78.9709138,(910) 879-1208,,http://www.ufcw1208.org/,,"Worker advocacy, collective bargaining workplace rights protection, legislation support, contract negotiation",Union membership,501(c)(5) nonprofit labor union representing 1.2 million members across the U.S. and Canada,No,,Represents workers in grocery retail health care manufacturing food processing meatpacking
Resources for Humanity,Crisis Services,Resource Gap Bridging,511 Martin Luther King Dr. Suite A Lumberton NC 28358,34.6182199,-79.0086424,(910) 370-0018,,https://resourceshumanity.org/,,"Resource gap bridging, personal growth promotion, resilience, inspiration, advocacy, education, training, research",Varies by service,Envisions society where individuals are defined by their potential not their past,Yes,,Focus on resilience and growth as foundation for community contributions
Beloveds CommUNITY Initiative,Crisis Services,Mobile Harm Reduction,,,,(910) 827-6150,,https://belovedscommunityi.wixsite.com/belovedscommunityini?,,"Mobile harm reduction, street outreach, free SHARPS containers, used syringe pickup period, products distribution",Free,Dedicated to saving lives through radical love education harm reduction and audacity,Yes,,Mobile harm reduction agency
The Prevailing CDC Inc.,Community Groups & Development,Community Development,2110 Wyndam Blvd Lumberton NC 28358,34.6578792,-78.9958014,(910) 736-8202,,,,Community development,Varies by service,Community development corporation,No,,
New Hope United Methodist Church,Faith-Based Services,Religious Services,210 S. Martin Luther King Street P.O. Box 955 Rowland NC 28383,34.5367109,-79.2960559,(910) 318-8528,,https://www.umc.org/en/find-a-church/church?id=001Um00000PFKVYIA5,,"Religious services, discipleship, community transformation",Free,Mission to make disciples of Jesus Christ for the transformation of the world,No,,Part of worldwide United Methodist Church connection
Divine Spirit Life Church,Faith-Based Services,Holistic Health/Religious,980 Dillard Dr. SE Palm Bay Florida 32909,27.9307215,-80.6584748,(321) 341-8782,,https://divinespiritlifechurch.org/,,"Holistic health, naturology lifestyle choice guidance",Varies by service,Founded by Rev. Dr. Christine Bzrani-Jordan prioritizes holistic health and naturology,No,,Founded by Rev. Dr. Christine Bzrani-Jordan
BUILD Inc. / BUILD Youth Inc.,Education,Vocational Training,3404 North Walnut Street Lumberton NC 28358,34.6410548,-79.003748,(910) 384-2290,,https://www.buildincbuildyouthinc.org/,,"Construction training, Brick Masonry, Carpentry, Electrical, HVAC, Plumbing",Varies by program,Committed to empowering socio-economically disadvantaged youth through specialized vocational training,No,,Focus on building skilled workforce for the future
South Lumberton Development Association Inc.,Crisis Services,Community Resilience,5961 Old Lumberton Road Whiteville NC 28358 and 130 Spearman Street Lumberton NC 28358,34.6142698,-79.0206133,(800) 804-6185 Ext: 5000 & (910) 774-0004,,https://www.sldasso.org/,,"Disaster preparedness mentoring, outreach leadership, mentoring clean energy efforts, parent/student education advocacy, housing solutions small business development",Varies by service,Dedicated to fostering community resilience growth and empowerment guided by principle of each one teaches one,Yes,,Each one teaches one principle
Sacred Pathways Inc.,Food Services,Inclusive Community Support,303 College Street Pembroke NC 28372 P.O. Box 3631,34.6820602,-79.1949799,(910) 668-5006,,https://serve.uncp.edu/agency/detail/?agency_id=162605,,Soup Kitchen (Mondays and Thursdays 11:00 AM - 1:00 PM) Referral Services Health Screenings Peer Support Addiction Support,Free to low-cost,Nonprofit organization dedicated to fostering inclusive and supportive community,Yes,,Soup Kitchen serves hot meals Mondays and Thursdays 11AM-1PM
Janice Faye's Ranch Inc.,Crisis Services,Equine-Assisted Learning,1967 The Ave. Clinton NC 28328,35.0190872,-78.4432064,(919) 819-1532,,https://www.janicefayesranch.org/,,"Equine-assisted learning, trauma therapy, depression support, grief counseling, Natural Lifemanship model",Free,Nonprofit organization providing at-risk youth with healing and hope through equine-assisted learning,Yes,,Uses Natural Lifemanship model serves over 250 individuals
Robeson Health Care Corporation-Multiple Locations,Healthcare Services,Integrated Healthcare,"302 E 3rd St, Pembroke, NC 28372.",34.6778709,-79.1915166,(910) 521-2900,,https://www.rhcchealth.org/,,"Health Services, Beahvioral Health, Recovery, Dental and Pharmacy",Varies by Service,"a non-profit organization dedicated to improving the health of communities in Robeson County and surrounding areas by providing integrated primary, preventive, and behavioral health care services",Yes,,
,,,,,,,,,,2025-07-24T14:01:23.089Z,,,,,
,,,,,,,,,,2025-07-24T14:01:23.252Z,,,,,
,,,,,,,,,,2025-07-24T14:01:24.297Z,,,,,
,,,,,,,,,,2025-07-24T14:50:01.348Z,,,,,
,,,,,,,,,,2025-07-24T14:50:01.871Z,,,,,
,,,,,,,,,,2025-07-24T14:50:03.401Z,,,,,
,,,,,,,,,,2025-07-24T14:50:03.597Z,,,,,
,,,,,,,,,,2025-07-24T15:03:21.198Z,,,,,
,,,,,,,,,,2025-07-24T15:07:53.653Z,,,,,
,,,,,,,,,,2025-07-24T15:11:25.177Z,,,,,
,,,,,,,,,,2025-07-24T15:45:40.303Z,,,,,
,,,,,,,,,,2025-07-24T15:46:09.588Z,,,,,
,,,,,,,,,,2025-07-24T16:08:08.518Z,,,,,
,,,,,,,,,,2025-07-24T16:09:19.466Z,,,,,
,,,,,,,,,,2025-07-24T16:58:26.161Z,,,,,
,,,,,,,,,,2025-07-24T17:00:21.038Z,,,,,
,,,,,,,,,,2025-07-24T17:07:18.958Z,,,,,
,,,,,,,,,,2025-07-24T17:08:35.505Z,,,,,
,,,,,,,,,,2025-07-24T17:16:54.127Z,,,,,
,,,,,,,,,,2025-07-24T17:31:05.701Z,,,,,
,,,,,,,,,,2025-07-24T17:37:56.416Z,,,,,
,,,,,,,,,,2025-07-24T17:38:47.587Z,,,,,
,,,,,,,,,,2025-07-24T17:39:32.571Z,,,,,
,,,,,,,,,,2025-07-24T17:46:11.366Z,,,,,
